AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTURA LTE,COBERTURA 5G,COBERTURA 4G
2023,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25758,SOPÓ,0,25758009,GRATAMIRA,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19455,MIRANDA,0,19455005,ORTIGAL,0,0,0,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27050,ATRATO,0,27050006,SAN JOSÉ DE PURRÉ,0,0,0,0,0,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23660,SAHAGÚN,0,23660015,AGUAS VIVAS,1,1,1,0,0,0
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,54,NORTE DE SANTANDER,54820,TOLEDO,1,54820001,TOLEDO,1,1,0,0,0,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23855,VALENCIA,0,23855016,MANZANARES,1,1,1,0,0,0
2021,4,AVANTEL S.A.S,73,TOLIMA,73504,ORTEGA,1,73504000,ORTEGA,1,1,1,0,0,1
2022,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47245,EL BANCO,0,47245001,AGUAESTRADA,1,0,0,0,0,0
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,27,CHOCÓ,27150,CARMEN DEL DARIÉN,1,27150000,CURBARADÓ,0,1,0,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,76,VALLE DEL CAUCA,76616,RIOFRÍO,0,76616009,SALÓNICA,0,0,0,0,0,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73001,IBAGUÉ,0,73001027,PASTALES NUEVO,1,0,0,0,0,0
2022,2,COMUNICACION CELULAR S A COMCEL S A,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,0,95001039,SANTO DOMINGO,1,1,1,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,52,NARIÑO,52385,LA LLANADA,1,52385000,LA LLANADA,0,1,1,0,0,0
2023,3,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76520,PALMIRA,0,76520002,AMAIME,0,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54239,DURANIA,0,54239007,LAS AGUADAS,1,1,1,0,0,1
2023,1,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,13442,MARÍA LA BAJA,1,13442000,MARÍA LA BAJA,0,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05670,SAN ROQUE,0,05670003,SAN JOSÉ DEL NUS,1,1,1,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23079,BUENAVISTA,1,23079000,BUENAVISTA,1,1,1,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",0,11001008,SAN JUAN,1,1,1,0,0,0
2022,2,COLOMBIA MOVIL  S.A ESP,76,VALLE DEL CAUCA,76233,DAGUA,0,76233011,EL QUEREMAL,1,1,1,0,0,1
2021,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23466,MONTELÍBANO,0,23466008,PICA PICA,1,0,0,0,0,0
